1	T391o9DNkxQ	2016-08-22 13:32:32	2016-08-17 14:47:25
2	UPMc_hjX9io	2016-08-22 13:32:32	2016-08-17 14:46:37
3	JZF1dC4v628	2016-08-22 13:32:32	2016-08-17 14:45:39
4	pNIj9d2yrIg	2016-08-22 13:32:32	2016-08-17 14:42:14
5	LBskpES-zwA	2016-08-22 13:32:32	2016-08-17 14:41:27
6	cAR7f35mNHw	2016-08-22 13:32:32	2016-08-17 14:38:07
7	C-LSoh2sB-A	2016-08-22 13:32:32	2016-08-11 11:36:38
8	R170PQcegys	2016-08-22 13:32:32	2016-07-19 17:04:44
9	OMV55i9Gs3k	2016-08-22 13:32:32	2016-07-13 10:05:11
10	pwOaKKwzxa0	2016-08-22 13:32:32	2016-07-12 13:01:33
11	Da4ez0bqCTw	2016-08-22 13:32:32	2016-07-04 10:40:07
12	WzmzhHm2QaM	2016-08-22 13:32:32	2016-06-29 11:47:26
13	2oRRFDB-CHQ	2016-08-22 13:32:32	2016-06-29 11:36:52
14	GdlNLYXv7Fw	2016-08-22 13:32:32	2016-06-28 15:00:05
15	lJAque83OyU	2016-08-22 13:32:32	2016-06-13 20:17:35
16	cqmnOnn0HBw	2016-08-22 13:32:32	2016-06-13 20:17:39
17	VYIu2bmF6CQ	2016-08-22 13:32:32	2016-06-13 20:17:29
18	a5JtAMowKQw	2016-08-22 13:32:32	2016-05-04 13:25:49
19	in6RVj2S84g	2016-08-22 13:32:32	2016-05-02 15:20:20
20	79iyR7Yl3L0	2016-08-22 13:32:32	2016-04-12 12:31:13
21	RwSkD7q8DdA	2016-08-22 13:32:32	2016-04-12 12:30:29
22	SA7zCMztj-o	2016-08-22 13:32:32	2016-03-29 10:36:43
23	xX1C8hQ5J94	2016-08-22 13:32:32	2016-03-29 10:25:28
24	bCTJVJLS4T0	2016-08-22 13:32:32	2016-03-29 10:04:42
25	mS75XlHmA2o	2016-08-22 13:32:32	2016-03-03 12:08:30
26	zF4oWYnbTYA	2016-08-22 13:32:32	2016-02-17 14:17:46
27	nW7bVcGlgfo	2016-08-22 13:32:32	2016-02-17 14:17:20
28	7zqdOnecEpQ	2016-08-22 13:32:32	2016-02-17 14:17:14
29	v6rmBCMBJWs	2016-08-22 13:32:32	2016-02-01 21:42:43
30	ZvALq8G48Fk	2016-08-22 13:32:32	2016-01-18 17:04:05
31	57JRe7KrRAQ	2016-08-22 13:32:32	2016-01-18 17:04:14
32	s7c7LOOzQzo	2016-08-22 13:32:32	2016-01-18 17:03:56
33	_Q82yVYegyg	2016-08-22 13:32:32	2015-11-26 16:29:21
34	CPIwU5qw7Po	2016-08-22 13:32:32	2015-11-17 09:22:53
35	gGu3RAHFqHw	2016-08-22 13:32:32	2015-11-17 09:23:04
36	jOSp0nVfQ68	2016-08-22 13:32:32	2015-11-17 09:23:14
37	XJmt0LKXyEo	2016-08-22 13:32:32	2015-11-17 09:22:20
38	cq0rkfAHz-I	2016-08-22 13:32:32	2015-11-17 09:21:18
39	ZiEDwnjgYd4	2016-08-22 13:32:32	2015-11-17 09:21:48
40	blEq1NACcFM	2016-08-22 13:32:32	2015-10-31 18:17:40
41	H9IRtPWvbq4	2016-08-22 13:32:32	2015-10-31 08:39:08
